Time,Total energy,Position,Velocity
439,0.9999998,0.8133902,-0.8226739
440,0.9999998,0.8125667,-0.8242999
441,0.9999998,0.8117416,-0.8259242
442,0.9999998,0.8109149,-0.8275468
443,0.9999998,0.8100865,-0.8291678
444,0.9999998,0.8092565,-0.8307872
445,0.9999998,0.8084249,-0.8324049
446,0.9999998,0.8075917,-0.8340209
447,0.9999998,0.8067569,-0.8356352
448,0.9999998,0.8059205,-0.8372479
449,0.9999998,0.8050824,-0.8388589
450,0.9999998,0.8042427,-0.8404682
451,0.9999998,0.8034015,-0.8420759
452,0.9999998,0.8025586,-0.8436818
453,0.9999998,0.8017141,-0.8452861
454,0.9999998,0.8008680,-0.8468887
455,0.9999998,0.8000203,-0.8484896
456,0.9999998,0.7991710,-0.8500888
457,0.9999998,0.7983202,-0.8516863
458,0.9999998,0.7974677,-0.8532821
459,0.9999998,0.7966136,-0.8548761
460,0.9999998,0.7957579,-0.8564685
461,0.9999998,0.7949007,-0.8580592
462,0.9999998,0.7940418,-0.8596481
463,0.9999998,0.7931814,-0.8612353
464,0.9999998,0.7923193,-0.8628208
465,0.9999998,0.7914557,-0.8644046
466,0.9999998,0.7905905,-0.8659867
467,0.9999998,0.7897237,-0.8675670
468,0.9999998,0.7888554,-0.8691456
469,0.9999998,0.7879854,-0.8707224
470,0.9999998,0.7871139,-0.8722975
471,0.9999998,0.7862409,-0.8738708
472,0.9999998,0.7853662,-0.8754425
473,0.9999998,0.7844900,-0.8770123
474,0.9999998,0.7836122,-0.8785804
475,0.9999998,0.7827328,-0.8801468
476,0.9999998,0.7818519,-0.8817113
477,0.9999998,0.7809694,-0.8832742
478,0.9999998,0.7800853,-0.8848352
479,0.9999998,0.7791997,-0.8863945
480,0.9999998,0.7783125,-0.8879520
481,0.9999998,0.7774238,-0.8895078
482,0.9999998,0.7765335,-0.8910617
483,0.9999998,0.7756417,-0.8926139
484,0.9999998,0.7747483,-0.8941643
485,0.9999998,0.7738534,-0.8957129
486,0.9999998,0.7729569,-0.8972597
487,0.9999998,0.7720588,-0.8988047
488,0.9999998,0.7711593,-0.9003479
489,0.9999998,0.7702581,-0.9018893
490,0.9999998,0.7693555,-0.9034290
491,0.9999998,0.7684513,-0.9049668
492,0.9999998,0.7675456,-0.9065028
493,0.9999998,0.7666383,-0.9080369
494,0.9999998,0.7657295,-0.9095693
495,0.9999998,0.7648191,-0.9110999
496,0.9999998,0.7639073,-0.9126286
497,0.9999998,0.7629939,-0.9141555
498,0.9999998,0.7620790,-0.9156806
499,0.9999998,0.7611625,-0.9172038
500,0.9999998,0.7602446,-0.9187252
501,0.9999998,0.7593251,-0.9202448
502,0.9999998,0.7584041,-0.9217625
503,0.9999998,0.7574815,-0.9232784
504,0.9999998,0.7565575,-0.9247924
505,0.9999998,0.7556320,-0.9263046
506,0.9999998,0.7547049,-0.9278150
507,0.9999998,0.7537763,-0.9293234
508,0.9999998,0.7528463,-0.9308301
509,0.9999998,0.7519147,-0.9323348
510,0.9999998,0.7509816,-0.9338377
511,0.9999998,0.7500470,-0.9353387
512,0.9999998,0.7491109,-0.9368379
513,0.9999998,0.7481733,-0.9383352
514,0.9999998,0.7472342,-0.9398306
515,0.9999998,0.7462937,-0.9413241
516,0.9999998,0.7453516,-0.9428158
517,0.9999998,0.7444080,-0.9443055
518,0.9999998,0.7434630,-0.9457934
519,0.9999998,0.7425164,-0.9472794
520,0.9999998,0.7415684,-0.9487635
521,0.9999998,0.7406189,-0.9502456
