Size of array,Matrix Time
855,0.4350000E-3
856,0.4360000E-3
857,0.4360000E-3
858,0.4360000E-3
859,0.4360000E-3
860,0.4360000E-3
861,0.4370000E-3
862,0.4380000E-3
863,0.4390000E-3
864,0.4390000E-3
865,0.4390000E-3
866,0.4390000E-3
867,0.4390000E-3
868,0.4400000E-3
869,0.4410000E-3
870,0.4420000E-3
871,0.4420000E-3
872,0.4420000E-3
873,0.4420000E-3
874,0.4420000E-3
875,0.4420000E-3
876,0.4430000E-3
877,0.4440000E-3
878,0.4450000E-3
879,0.4460000E-3
880,0.4460000E-3
881,0.4460000E-3
882,0.4460000E-3
883,0.4460000E-3
884,0.4460000E-3
885,0.4460000E-3
886,0.4460000E-3
887,0.4470000E-3
888,0.4480000E-3
889,0.4480000E-3
890,0.4480000E-3
891,0.4480000E-3
892,0.4480000E-3
893,0.4490000E-3
894,0.4500000E-3
895,0.4510000E-3
896,0.4520000E-3
897,0.4530000E-3
898,0.4530000E-3
899,0.4530000E-3
900,0.4530000E-3
901,0.4530000E-3
902,0.4530000E-3
903,0.4540000E-3
904,0.4550000E-3
905,0.4560000E-3
906,0.4570000E-3
907,0.4570000E-3
908,0.4570000E-3
909,0.4570000E-3
910,0.4570000E-3
911,0.4580000E-3
912,0.4580000E-3
913,0.4590000E-3
914,0.4600000E-3
915,0.4610000E-3
916,0.4610000E-3
917,0.4610000E-3
918,0.4610000E-3
919,0.4620000E-3
920,0.4630000E-3
921,0.4640000E-3
922,0.4650000E-3
923,0.4660000E-3
924,0.4660000E-3
925,0.4660000E-3
926,0.4660000E-3
927,0.4660000E-3
928,0.4670000E-3
929,0.4680000E-3
930,0.4690000E-3
931,0.4690000E-3
932,0.4690000E-3
933,0.4690000E-3
934,0.4690000E-3
935,0.4700000E-3
936,0.4710000E-3
937,0.4720000E-3
938,0.4720000E-3
939,0.4720000E-3
940,0.4720000E-3
941,0.4720000E-3
942,0.4720000E-3
943,0.4730000E-3
944,0.4740000E-3
945,0.4750000E-3
946,0.4760000E-3
947,0.4770000E-3
948,0.4770000E-3
949,0.4770000E-3
950,0.4770000E-3
951,0.4770000E-3
952,0.4780000E-3
953,0.4790000E-3
954,0.4800000E-3
955,0.4810000E-3
956,0.4820000E-3
957,0.4830000E-3
958,0.4840000E-3
959,0.4850000E-3
960,0.4850000E-3
961,0.4850000E-3
962,0.4850000E-3
963,0.4850000E-3
964,0.4850000E-3
