Size of array,Matrix Time
612,0.6398000E-2
613,0.6403000E-2
614,0.6407000E-2
615,0.6421000E-2
616,0.6436000E-2
617,0.6450000E-2
618,0.6455000E-2
619,0.6461000E-2
620,0.6475000E-2
621,0.6479000E-2
622,0.6495000E-2
623,0.6510000E-2
624,0.6523000E-2
625,0.6528000E-2
626,0.6543000E-2
627,0.6548000E-2
628,0.6554000E-2
629,0.6569000E-2
630,0.6573000E-2
631,0.6587000E-2
632,0.6602000E-2
633,0.6615000E-2
634,0.6619000E-2
635,0.6624000E-2
636,0.6639000E-2
637,0.6644000E-2
638,0.6659000E-2
639,0.6674000E-2
640,0.6679000E-2
641,0.6695000E-2
642,0.6711000E-2
643,0.6716000E-2
644,0.6731000E-2
645,0.6746000E-2
646,0.6750000E-2
647,0.6754000E-2
648,0.6759000E-2
649,0.6764000E-2
650,0.6779000E-2
651,0.6784000E-2
652,0.6799000E-2
653,0.6813000E-2
654,0.6826000E-2
655,0.6831000E-2
656,0.6835000E-2
657,0.6848000E-2
658,0.6852000E-2
659,0.6866000E-2
660,0.6881000E-2
661,0.6896000E-2
662,0.6900000E-2
663,0.6908000E-2
664,0.6922000E-2
665,0.6926000E-2
666,0.6940000E-2
667,0.6953000E-2
668,0.6958000E-2
669,0.6962000E-2
670,0.6967000E-2
671,0.6982000E-2
672,0.6986000E-2
673,0.7002000E-2
674,0.7017000E-2
675,0.7022000E-2
676,0.7037000E-2
677,0.7050000E-2
678,0.7055000E-2
679,0.7068000E-2
680,0.7084000E-2
681,0.7097000E-2
682,0.7112000E-2
683,0.7119000E-2
684,0.7135000E-2
685,0.7139000E-2
686,0.7151000E-2
687,0.7156000E-2
688,0.7170000E-2
689,0.7175000E-2
690,0.7189000E-2
691,0.7202000E-2
692,0.7207000E-2
693,0.7221000E-2
694,0.7235000E-2
695,0.7249000E-2
696,0.7254000E-2
697,0.7259000E-2
698,0.7264000E-2
699,0.7280000E-2
700,0.7285000E-2
701,0.7300000E-2
702,0.7315000E-2
703,0.7328000E-2
704,0.7342000E-2
705,0.7354000E-2
706,0.7369000E-2
707,0.7382000E-2
708,0.7396000E-2
709,0.7402000E-2
710,0.7406000E-2
711,0.7422000E-2
712,0.7426000E-2
713,0.7439000E-2
714,0.7454000E-2
715,0.7460000E-2
716,0.7473000E-2
717,0.7487000E-2
718,0.7492000E-2
719,0.7508000E-2
720,0.7523000E-2
721,0.7539000E-2
722,0.7556000E-2
723,0.7571000E-2
724,0.7576000E-2
725,0.7591000E-2
726,0.7606000E-2
727,0.7620000E-2
728,0.7634000E-2
729,0.7639000E-2
730,0.7644000E-2
731,0.7659000E-2
732,0.7675000E-2
733,0.7680000E-2
734,0.7685000E-2
735,0.7699000E-2
736,0.7704000E-2
737,0.7719000E-2
738,0.7734000E-2
739,0.7749000E-2
740,0.7770000E-2
741,0.7786000E-2
742,0.7800000E-2
743,0.7814000E-2
744,0.7819000E-2
745,0.7824000E-2
746,0.7838000E-2
747,0.7843000E-2
748,0.7858000E-2
749,0.7863000E-2
750,0.7868000E-2
751,0.7882000E-2
752,0.7896000E-2
753,0.7910000E-2
754,0.7924000E-2
755,0.7930000E-2
756,0.7935000E-2
757,0.7949000E-2
758,0.7965000E-2
759,0.7978000E-2
760,0.7983000E-2
761,0.7988000E-2
762,0.8003000E-2
763,0.8008000E-2
764,0.8024000E-2
765,0.8038000E-2
766,0.8043000E-2
767,0.8048000E-2
768,0.8062000E-2
769,0.8067000E-2
770,0.8072000E-2
771,0.8087000E-2
772,0.8103000E-2
773,0.8117000E-2
774,0.8131000E-2
775,0.8147000E-2
776,0.8152000E-2
777,0.8167000E-2
778,0.8180000E-2
779,0.8185000E-2
780,0.8199000E-2
781,0.8212000E-2
782,0.8226000E-2
783,0.8239000E-2
784,0.8255000E-2
785,0.8268000E-2
786,0.8284000E-2
787,0.8290000E-2
788,0.8297000E-2
789,0.8303000E-2
790,0.8319000E-2
791,0.8324000E-2
792,0.8339000E-2
793,0.8354000E-2
794,0.8362000E-2
795,0.8375000E-2
796,0.8391000E-2
797,0.8396000E-2
798,0.8401000E-2
799,0.8414000E-2
800,0.8420000E-2
801,0.8425000E-2
802,0.8441000E-2
803,0.8457000E-2
804,0.8473000E-2
805,0.8478000E-2
806,0.8495000E-2
807,0.8510000E-2
808,0.8526000E-2
809,0.8532000E-2
810,0.8548000E-2
811,0.8553000E-2
812,0.8568000E-2
813,0.8584000E-2
814,0.8598000E-2
815,0.8604000E-2
816,0.8620000E-2
817,0.8626000E-2
818,0.8641000E-2
819,0.8657000E-2
820,0.8663000E-2
821,0.8668000E-2
822,0.8681000E-2
823,0.8696000E-2
824,0.8709000E-2
825,0.8723000E-2
826,0.8729000E-2
827,0.8738000E-2
828,0.8753000E-2
829,0.8769000E-2
830,0.8775000E-2
831,0.8791000E-2
832,0.8797000E-2
833,0.8813000E-2
834,0.8818000E-2
835,0.8833000E-2
836,0.8838000E-2
837,0.8852000E-2
838,0.8866000E-2
839,0.8872000E-2
840,0.8880000E-2
841,0.8894000E-2
842,0.8900000E-2
843,0.8915000E-2
844,0.8931000E-2
845,0.8939000E-2
846,0.8952000E-2
847,0.8966000E-2
848,0.8973000E-2
849,0.8986000E-2
850,0.8994000E-2
851,0.9007000E-2
852,0.9020000E-2
853,0.9036000E-2
854,0.9042000E-2
855,0.9047000E-2
856,0.9063000E-2
857,0.9068000E-2
858,0.9083000E-2
859,0.9099000E-2
860,0.9116000E-2
861,0.9132000E-2
862,0.9148000E-2
863,0.9162000E-2
864,0.9167000E-2
865,0.9173000E-2
866,0.9187000E-2
867,0.9192000E-2
868,0.9208000E-2
869,0.9224000E-2
870,0.9230000E-2
871,0.9245000E-2
872,0.9259000E-2
873,0.9265000E-2
874,0.9280000E-2
875,0.9293000E-2
876,0.9299000E-2
877,0.9316000E-2
878,0.9332000E-2
879,0.9338000E-2
880,0.9343000E-2
881,0.9365000E-2
882,0.9381000E-2
883,0.9397000E-2
884,0.9403000E-2
885,0.9409000E-2
886,0.9425000E-2
887,0.9440000E-2
888,0.9446000E-2
889,0.9462000E-2
890,0.9468000E-2
891,0.9484000E-2
892,0.9500000E-2
893,0.9506000E-2
894,0.9521000E-2
895,0.9527000E-2
896,0.9543000E-2
897,0.9559000E-2
898,0.9565000E-2
899,0.9571000E-2
900,0.9587000E-2
901,0.9593000E-2
902,0.9607000E-2
903,0.9624000E-2
904,0.9640000E-2
905,0.9658000E-2
906,0.9664000E-2
907,0.9680000E-2
908,0.9695000E-2
909,0.9710000E-2
910,0.9716000E-2
911,0.9731000E-2
912,0.9738000E-2
913,0.9752000E-2
914,0.9757000E-2
915,0.9772000E-2
916,0.9786000E-2
917,0.9803000E-2
918,0.9820000E-2
919,0.9836000E-2
920,0.9842000E-2
921,0.9858000E-2
922,0.9875000E-2
923,0.9881000E-2
924,0.9887000E-2
925,0.9904000E-2
926,0.9910000E-2
927,0.9926000E-2
928,0.9935000E-2
929,0.9950000E-2
930,0.9957000E-2
931,0.9971000E-2
932,0.9977000E-2
933,0.9994000E-2
934,0.1000300E-1
935,0.1001900E-1
936,0.1003600E-1
937,0.1004200E-1
938,0.1006500E-1
939,0.1007300E-1
940,0.1009400E-1
941,0.1011100E-1
942,0.1012900E-1
943,0.1013500E-1
944,0.1015200E-1
945,0.1016600E-1
946,0.1017200E-1
947,0.1018800E-1
948,0.1020200E-1
949,0.1020800E-1
950,0.1022300E-1
951,0.1023700E-1
952,0.1024300E-1
953,0.1025700E-1
954,0.1027400E-1
955,0.1028100E-1
956,0.1029700E-1
957,0.1030300E-1
958,0.1031900E-1
959,0.1033500E-1
960,0.1034100E-1
961,0.1035700E-1
962,0.1037400E-1
963,0.1039000E-1
964,0.1039600E-1
965,0.1041000E-1
966,0.1042500E-1
967,0.1043100E-1
968,0.1043800E-1
969,0.1044600E-1
970,0.1046200E-1
971,0.1047900E-1
972,0.1049300E-1
973,0.1049900E-1
974,0.1051600E-1
975,0.1052200E-1
976,0.1053800E-1
977,0.1055400E-1
978,0.1056000E-1
979,0.1056600E-1
980,0.1058000E-1
981,0.1060500E-1
982,0.1062300E-1
983,0.1064100E-1
984,0.1064800E-1
985,0.1066200E-1
986,0.1067000E-1
987,0.1068700E-1
988,0.1070300E-1
989,0.1072000E-1
990,0.1073700E-1
991,0.1075400E-1
992,0.1076000E-1
993,0.1077600E-1
994,0.1078200E-1
995,0.1079600E-1
996,0.1080400E-1
997,0.1081900E-1
998,0.1082500E-1
999,0.1084000E-1
1000,0.1085700E-1
1001,0.1086400E-1
1002,0.1088100E-1
1003,0.1088700E-1
1004,0.1090400E-1
1005,0.1091100E-1
1006,0.1092500E-1
1007,0.1094100E-1
1008,0.1095700E-1
1009,0.1097200E-1
1010,0.1097800E-1
 ---
101,0.4200000E-3
102,0.4230000E-3
103,0.4360000E-3
104,0.4390000E-3
105,0.4410000E-3
106,0.4510000E-3
107,0.4640000E-3
108,0.4660000E-3
109,0.4680000E-3
110,0.4710000E-3
111,0.4870000E-3
112,0.5040000E-3
113,0.5070000E-3
114,0.5180000E-3
115,0.5280000E-3
116,0.5310000E-3
117,0.5330000E-3
118,0.5440000E-3
119,0.5460000E-3
120,0.5480000E-3
121,0.5600000E-3
122,0.5630000E-3
123,0.5650000E-3
124,0.5760000E-3
125,0.5940000E-3
126,0.5980000E-3
127,0.6180000E-3
128,0.6380000E-3
129,0.6580000E-3
130,0.6630000E-3
131,0.6850000E-3
132,0.7070000E-3
133,0.7290000E-3
134,0.7490000E-3
135,0.7710000E-3
136,0.7910000E-3
137,0.8080000E-3
138,0.8210000E-3
139,0.8340000E-3
140,0.8360000E-3
141,0.8490000E-3
142,0.8610000E-3
143,0.8750000E-3
144,0.8800000E-3
145,0.8900000E-3
146,0.9010000E-3
147,0.9130000E-3
148,0.9300000E-3
149,0.9490000E-3
150,0.9660000E-3
151,0.9850000E-3
152,0.9890000E-3
153,0.9920000E-3
154,0.1008000E-2
155,0.1013000E-2
156,0.1031000E-2
157,0.1050000E-2
158,0.1056000E-2
159,0.1073000E-2
160,0.1076000E-2
161,0.1095000E-2
162,0.1111000E-2
163,0.1115000E-2
164,0.1132000E-2
165,0.1149000E-2
166,0.1166000E-2
167,0.1169000E-2
168,0.1185000E-2
169,0.1204000E-2
170,0.1221000E-2
171,0.1225000E-2
172,0.1229000E-2
173,0.1245000E-2
174,0.1249000E-2
175,0.1265000E-2
176,0.1282000E-2
177,0.1287000E-2
178,0.1318000E-2
179,0.1335000E-2
180,0.1365000E-2
181,0.1370000E-2
182,0.1387000E-2
183,0.1403000E-2
184,0.1422000E-2
185,0.1440000E-2
186,0.1456000E-2
187,0.1460000E-2
188,0.1466000E-2
189,0.1482000E-2
190,0.1486000E-2
191,0.1507000E-2
192,0.1512000E-2
193,0.1532000E-2
194,0.1566000E-2
195,0.1585000E-2
196,0.1604000E-2
197,0.1623000E-2
198,0.1627000E-2
199,0.1646000E-2
200,0.1666000E-2
201,0.1684000E-2
202,0.1704000E-2
203,0.1723000E-2
204,0.1727000E-2
205,0.1748000E-2
206,0.1767000E-2
207,0.1772000E-2
208,0.1794000E-2
209,0.1799000E-2
210,0.1817000E-2
211,0.1834000E-2
212,0.1852000E-2
213,0.1871000E-2
214,0.1897000E-2
215,0.1917000E-2
216,0.1921000E-2
217,0.1935000E-2
218,0.1952000E-2
219,0.1969000E-2
220,0.1972000E-2
221,0.1974000E-2
222,0.1988000E-2
223,0.1991000E-2
224,0.1994000E-2
225,0.1998000E-2
226,0.2011000E-2
227,0.2013000E-2
228,0.2026000E-2
229,0.2037000E-2
230,0.2040000E-2
231,0.2044000E-2
232,0.2055000E-2
233,0.2068000E-2
234,0.2079000E-2
235,0.2084000E-2
236,0.2101000E-2
237,0.2115000E-2
238,0.2132000E-2
239,0.2138000E-2
240,0.2159000E-2
241,0.2184000E-2
242,0.2208000E-2
243,0.2249000E-2
244,0.2274000E-2
245,0.2300000E-2
246,0.2310000E-2
247,0.2335000E-2
248,0.2360000E-2
249,0.2366000E-2
250,0.2390000E-2
251,0.2415000E-2
252,0.2440000E-2
253,0.2465000E-2
254,0.2493000E-2
255,0.2518000E-2
256,0.2544000E-2
257,0.2569000E-2
258,0.2592000E-2
259,0.2615000E-2
260,0.2638000E-2
261,0.2664000E-2
262,0.2690000E-2
263,0.2715000E-2
264,0.2738000E-2
265,0.2764000E-2
266,0.2804000E-2
267,0.2830000E-2
268,0.2856000E-2
269,0.2878000E-2
270,0.2895000E-2
271,0.2900000E-2
272,0.2903000E-2
273,0.2917000E-2
274,0.2929000E-2
275,0.2941000E-2
276,0.2944000E-2
277,0.2947000E-2
278,0.2960000E-2
279,0.2973000E-2
280,0.2985000E-2
281,0.2988000E-2
282,0.2991000E-2
283,0.3004000E-2
284,0.3007000E-2
285,0.3010000E-2
286,0.3022000E-2
287,0.3040000E-2
288,0.3061000E-2
289,0.3075000E-2
290,0.3089000E-2
291,0.3101000E-2
292,0.3105000E-2
293,0.3108000E-2
294,0.3121000E-2
295,0.3124000E-2
296,0.3127000E-2
297,0.3140000E-2
298,0.3152000E-2
299,0.3164000E-2
300,0.3177000E-2
301,0.3188000E-2
302,0.3199000E-2
303,0.3203000E-2
304,0.3214000E-2
305,0.3218000E-2
306,0.3229000E-2
307,0.3232000E-2
308,0.3243000E-2
309,0.3246000E-2
310,0.3265000E-2
311,0.3292000E-2
312,0.3297000E-2
313,0.3313000E-2
314,0.3328000E-2
315,0.3340000E-2
316,0.3353000E-2
317,0.3366000E-2
318,0.3369000E-2
319,0.3373000E-2
320,0.3387000E-2
321,0.3391000E-2
322,0.3403000E-2
323,0.3417000E-2
324,0.3421000E-2
325,0.3425000E-2
326,0.3430000E-2
327,0.3444000E-2
328,0.3447000E-2
329,0.3461000E-2
330,0.3465000E-2
331,0.3479000E-2
332,0.3494000E-2
333,0.3497000E-2
334,0.3511000E-2
335,0.3526000E-2
336,0.3537000E-2
337,0.3551000E-2
338,0.3555000E-2
339,0.3559000E-2
340,0.3574000E-2
341,0.3588000E-2
342,0.3602000E-2
343,0.3614000E-2
344,0.3629000E-2
345,0.3643000E-2
346,0.3647000E-2
347,0.3651000E-2
348,0.3665000E-2
349,0.3669000E-2
350,0.3682000E-2
351,0.3686000E-2
352,0.3699000E-2
353,0.3712000E-2
354,0.3725000E-2
355,0.3738000E-2
356,0.3741000E-2
357,0.3745000E-2
358,0.3759000E-2
359,0.3774000E-2
360,0.3785000E-2
361,0.3797000E-2
362,0.3810000E-2
363,0.3814000E-2
364,0.3817000E-2
365,0.3832000E-2
366,0.3846000E-2
