initM,initL,Matrix Time,Count
2000,1700,0.3974000E-2,11454
2100,1700,0.2625000E-2,11454
20,1800,0.2600000E-3,10890
30,1800,0.2940000E-3,10885
40,1800,0.3140000E-3,10916
50,1800,0.3070000E-3,10908
60,1800,0.3040000E-3,10847
70,1800,0.3270000E-3,10939
80,1800,0.3440000E-3,10957
90,1800,0.3620000E-3,10923
100,1800,0.3470000E-3,10938
200,1800,0.5390000E-3,10948
300,1800,0.6220000E-3,11089
400,1800,0.7230000E-3,11121
500,1800,0.8160000E-3,11103
600,1800,0.9150000E-3,11269
700,1800,0.1029000E-2,11382
800,1800,0.1147000E-2,11444
900,1800,0.1220000E-2,11472
1000,1800,0.1323000E-2,11454
1100,1800,0.1395000E-2,11454
1200,1800,0.1404000E-2,11454
1300,1800,0.1436000E-2,11454
1400,1800,0.1677000E-2,11454
1500,1800,0.1540000E-2,11454
1600,1800,0.1548000E-2,11454
1700,1800,0.1594000E-2,11454
1800,1800,0.1682000E-2,11454
1900,1800,0.1864000E-2,11454
2000,1800,0.4414000E-2,11454
2100,1800,0.3116000E-2,11454
20,1900,0.2720000E-3,10890
30,1900,0.2960000E-3,10885
40,1900,0.2890000E-3,10916
50,1900,0.3050000E-3,10908
60,1900,0.3170000E-3,10847
70,1900,0.3440000E-3,10939
80,1900,0.3600000E-3,10957
90,1900,0.3480000E-3,10923
100,1900,0.3540000E-3,10938
200,1900,0.5360000E-3,10948
300,1900,0.6460000E-3,11089
400,1900,0.7310000E-3,11121
500,1900,0.8800000E-3,11103
600,1900,0.9420000E-3,11269
700,1900,0.1045000E-2,11382
800,1900,0.1142000E-2,11444
900,1900,0.1273000E-2,11472
1000,1900,0.1423000E-2,11454
1100,1900,0.1424000E-2,11454
1200,1900,0.1411000E-2,11454
1300,1900,0.1497000E-2,11454
1400,1900,0.1511000E-2,11454
1500,1900,0.1555000E-2,11454
1600,1900,0.1651000E-2,11454
1700,1900,0.1622000E-2,11454
1800,1900,0.1696000E-2,11454
1900,1900,0.2000000E-2,11454
2000,1900,0.4481000E-2,11454
2100,1900,0.3094000E-2,11454
20,2000,0.2690000E-3,10890
30,2000,0.2920000E-3,10885
40,2000,0.2890000E-3,10916
50,2000,0.3010000E-3,10908
60,2000,0.3220000E-3,10847
70,2000,0.3290000E-3,10939
80,2000,0.3400000E-3,10957
90,2000,0.3600000E-3,10923
100,2000,0.3580000E-3,10938
200,2000,0.5390000E-3,10948
300,2000,0.6620000E-3,11089
400,2000,0.7530000E-3,11121
500,2000,0.8450000E-3,11103
600,2000,0.1013000E-2,11269
700,2000,0.1088000E-2,11382
800,2000,0.1155000E-2,11444
900,2000,0.1255000E-2,11472
1000,2000,0.1332000E-2,11454
1100,2000,0.1395000E-2,11454
1200,2000,0.1458000E-2,11454
1300,2000,0.1515000E-2,11454
1400,2000,0.1557000E-2,11454
1500,2000,0.1581000E-2,11454
1600,2000,0.1645000E-2,11454
1700,2000,0.1733000E-2,11454
1800,2000,0.1773000E-2,11454
1900,2000,0.1928000E-2,11454
2000,2000,0.4649000E-2,11454
2100,2000,0.2981000E-2,11454
100,20,0.5700000E-3,11215
100,30,0.5660000E-3,11016
100,40,0.3070000E-3,10938
100,50,0.3030000E-3,10938
100,60,0.3100000E-3,10938
100,70,0.3080000E-3,10938
100,80,0.3100000E-3,10938
100,90,0.3060000E-3,10938
100,100,0.3150000E-3,10938
100,200,0.3230000E-3,10938
100,300,0.3180000E-3,10938
100,400,0.3060000E-3,10938
100,500,0.3290000E-3,10938
100,600,0.3550000E-3,10938
100,700,0.3210000E-3,10938
100,800,0.3470000E-3,10938
100,900,0.3320000E-3,10938
100,1000,0.3370000E-3,10938
100,1100,0.3330000E-3,10938
100,1200,0.3310000E-3,10938
100,1300,0.3400000E-3,10938
100,1400,0.3430000E-3,10938
100,1500,0.3610000E-3,10938
100,1600,0.3430000E-3,10938
100,1700,0.3600000E-3,10938
100,1800,0.3550000E-3,10938
100,1900,0.3440000E-3,10938
100,2000,0.3550000E-3,10938
100,2100,0.3600000E-3,10938
200,20,0.5300000E-3,10950
200,30,0.3820000E-3,10948
200,40,0.4430000E-3,10948
200,50,0.4530000E-3,10948
200,60,0.3900000E-3,10948
200,70,0.3740000E-3,10948
200,80,0.3810000E-3,10948
200,90,0.3930000E-3,10948
200,100,0.3730000E-3,10948
200,200,0.3710000E-3,10948
200,300,0.3700000E-3,10948
200,400,0.3960000E-3,10948
200,500,0.3920000E-3,10948
200,600,0.4020000E-3,10948
200,700,0.3880000E-3,10948
200,800,0.4200000E-3,10948
200,900,0.4250000E-3,10948
200,1000,0.3970000E-3,10948
200,1100,0.4200000E-3,10948
200,1200,0.4350000E-3,10948
200,1300,0.4500000E-3,10948
200,1400,0.4590000E-3,10948
200,1500,0.4550000E-3,10948
200,1600,0.4370000E-3,10948
200,1700,0.4460000E-3,10948
200,1800,0.4630000E-3,10948
200,1900,0.4810000E-3,10948
200,2000,0.4510000E-3,10948
200,2100,0.4640000E-3,10948
300,20,0.6070000E-3,11091
300,30,0.4510000E-3,11089
300,40,0.4580000E-3,11089
300,50,0.4480000E-3,11089
300,60,0.4440000E-3,11089
300,70,0.4480000E-3,11089
300,80,0.4390000E-3,11089
300,90,0.4410000E-3,11089
300,100,0.4660000E-3,11089
300,200,0.4580000E-3,11089
300,300,0.4590000E-3,11089
300,400,0.4690000E-3,11089
300,500,0.4700000E-3,11089
300,600,0.4820000E-3,11089
300,700,0.4940000E-3,11089
300,800,0.4940000E-3,11089
300,900,0.5160000E-3,11089
300,1000,0.5120000E-3,11089
300,1100,0.5160000E-3,11089
300,1200,0.5280000E-3,11089
300,1300,0.5330000E-3,11089
300,1400,0.5350000E-3,11089
300,1500,0.5500000E-3,11089
300,1600,0.5510000E-3,11089
300,1700,0.5810000E-3,11089
300,1800,0.5520000E-3,11089
300,1900,0.5590000E-3,11089
300,2000,0.5710000E-3,11089
300,2100,0.5720000E-3,11089
400,20,0.5050000E-3,11121
400,30,0.4920000E-3,11121
400,40,0.5310000E-3,11121
400,50,0.5100000E-3,11121
400,60,0.5090000E-3,11121
400,70,0.5140000E-3,11121
400,80,0.5160000E-3,11121
400,90,0.5220000E-3,11121
400,100,0.5290000E-3,11121
400,200,0.5310000E-3,11121
400,300,0.5200000E-3,11121
400,400,0.5420000E-3,11121
400,500,0.5480000E-3,11121
400,600,0.5510000E-3,11121
400,700,0.5630000E-3,11121
400,800,0.5780000E-3,11121
400,900,0.5910000E-3,11121
400,1000,0.6310000E-3,11121
400,1100,0.5860000E-3,11121
400,1200,0.6090000E-3,11121
400,1300,0.6130000E-3,11121
400,1400,0.6320000E-3,11121
400,1500,0.6610000E-3,11121
400,1600,0.6380000E-3,11121
400,1700,0.6610000E-3,11121
400,1800,0.6650000E-3,11121
400,1900,0.6840000E-3,11121
400,2000,0.6930000E-3,11121
400,2100,0.7010000E-3,11121
500,20,0.5690000E-3,11103
500,30,0.5630000E-3,11103
500,40,0.5690000E-3,11103
500,50,0.5800000E-3,11103
500,60,0.5790000E-3,11103
500,70,0.5670000E-3,11103
500,80,0.5800000E-3,11103
500,90,0.5800000E-3,11103
500,100,0.6150000E-3,11103
500,200,0.5900000E-3,11103
500,300,0.6070000E-3,11103
500,400,0.6170000E-3,11103
500,500,0.6230000E-3,11103
500,600,0.6650000E-3,11103
500,700,0.6410000E-3,11103
500,800,0.6640000E-3,11103
500,900,0.6700000E-3,11103
500,1000,0.6880000E-3,11103
500,1100,0.6860000E-3,11103
500,1200,0.6990000E-3,11103
500,1300,0.7100000E-3,11103
500,1400,0.7220000E-3,11103
500,1500,0.7270000E-3,11103
500,1600,0.7490000E-3,11103
500,1700,0.7550000E-3,11103
500,1800,0.7710000E-3,11103
500,1900,0.7780000E-3,11103
500,2000,0.8060000E-3,11103
500,2100,0.7950000E-3,11103
600,20,0.6410000E-3,11269
600,30,0.6660000E-3,11269
600,40,0.6400000E-3,11269
600,50,0.6350000E-3,11269
600,60,0.6470000E-3,11269
600,70,0.6480000E-3,11269
600,80,0.6480000E-3,11269
600,90,0.6460000E-3,11269
600,100,0.6400000E-3,11269
600,200,0.6590000E-3,11269
600,300,0.6870000E-3,11269
600,400,0.6760000E-3,11269
600,500,0.6940000E-3,11269
600,600,0.7150000E-3,11269
600,700,0.7300000E-3,11269
600,800,0.7350000E-3,11269
600,900,0.7500000E-3,11269
600,1000,0.7980000E-3,11269
600,1100,0.7730000E-3,11269
600,1200,0.8120000E-3,11269
600,1300,0.8020000E-3,11269
600,1400,0.8230000E-3,11269
600,1500,0.8240000E-3,11269
600,1600,0.8350000E-3,11269
600,1700,0.8700000E-3,11269
600,1800,0.8830000E-3,11269
600,1900,0.8800000E-3,11269
600,2000,0.8940000E-3,11269
600,2100,0.9060000E-3,11269
700,20,0.7050000E-3,11382
700,30,0.7010000E-3,11382
700,40,0.7000000E-3,11382
700,50,0.7620000E-3,11382
700,60,0.7120000E-3,11382
700,70,0.7060000E-3,11382
700,80,0.7430000E-3,11382
700,90,0.7140000E-3,11382
700,100,0.7150000E-3,11382
700,200,0.7270000E-3,11382
700,300,0.7500000E-3,11382
700,400,0.7500000E-3,11382
700,500,0.7770000E-3,11382
700,600,0.7950000E-3,11382
700,700,0.8030000E-3,11382
700,800,0.8110000E-3,11382
700,900,0.8320000E-3,11382
700,1000,0.8560000E-3,11382
700,1100,0.8640000E-3,11382
700,1200,0.8590000E-3,11382
700,1300,0.9300000E-3,11382
700,1400,0.9750000E-3,11382
700,1500,0.9250000E-3,11382
700,1600,0.9270000E-3,11382
700,1700,0.9400000E-3,11382
700,1800,0.9460000E-3,11382
700,1900,0.9830000E-3,11382
700,2000,0.9880000E-3,11382
700,2100,0.1011000E-2,11382
800,20,0.7570000E-3,11444
800,30,0.7430000E-3,11444
800,40,0.7390000E-3,11444
800,50,0.7500000E-3,11444
800,60,0.7520000E-3,11444
800,70,0.7640000E-3,11444
800,80,0.7630000E-3,11444
800,90,0.7630000E-3,11444
800,100,0.7820000E-3,11444
800,200,0.7780000E-3,11444
800,300,0.7950000E-3,11444
800,400,0.8160000E-3,11444
800,500,0.8290000E-3,11444
800,600,0.8460000E-3,11444
800,700,0.8790000E-3,11444
800,800,0.8750000E-3,11444
800,900,0.9060000E-3,11444
800,1000,0.9120000E-3,11444
800,1100,0.9300000E-3,11444
800,1200,0.9450000E-3,11444
800,1300,0.1220000E-2,11444
800,1400,0.1023000E-2,11444
800,1500,0.1080000E-2,11444
800,1600,0.1021000E-2,11444
800,1700,0.1034000E-2,11444
800,1800,0.1062000E-2,11444
800,1900,0.1080000E-2,11444
800,2000,0.1103000E-2,11444
800,2100,0.1107000E-2,11444
900,20,0.8190000E-3,11472
900,30,0.8180000E-3,11472
900,40,0.8130000E-3,11472
900,50,0.8260000E-3,11472
900,60,0.8240000E-3,11472
900,70,0.8310000E-3,11472
900,80,0.8760000E-3,11472
900,90,0.8410000E-3,11472
900,100,0.8410000E-3,11472
900,200,0.8370000E-3,11472
900,300,0.8500000E-3,11472
900,400,0.8830000E-3,11472
900,500,0.9010000E-3,11472
900,600,0.9260000E-3,11472
900,700,0.9770000E-3,11472
900,800,0.9620000E-3,11472
900,900,0.9780000E-3,11472
